I1,I2,N1,N2,N3
0.04805,0.04805,0.21456,0.88835,0.99989
0.048039,0.04804,0.21988,0.88491,0.99994
0.047996,0.047996,0.2245,0.88312,0.99996
0.047952,0.047952,0.22856,0.8802,0.99996
0.047974,0.047974,0.23218,0.87393,0.99996
0.048028,0.048028,0.23543,0.86718,0.99996
0.04805,0.04805,0.23837,0.8594,0.99995
0.04805,0.04805,0.24108,0.85145,0.99994
0.04805,0.04805,0.24359,0.84366,0.99992
0.04805,0.04805,0.24595,0.83879,0.9999
0.04805,0.04805,0.24816,0.86213,0.99988
0.04805,0.04805,0.25026,0.91027,0.99986
0.04805,0.04805,0.25222,0.94193,0.99986
0.04805,0.04805,0.25404,0.96464,0.99986
0.04805,0.04805,0.25572,0.97851,0.99985
0.04805,0.04805,0.25722,0.97904,0.99985
0.04805,0.04805,0.25852,0.97735,0.99985
0.04805,0.04805,0.25953,0.97448,0.99985
0.04805,0.04805,0.26018,0.97538,0.99985
0.04805,0.04805,0.2604,0.97559,0.99985
1.2428e-05,1.2428e-05,0.0,0.5,1.0
0.00021303,0.00021303,0.00088726,0.9871,1.0
0.0020212,0.0020212,0.0048319,0.98765,1.0
0.0088185,0.0088185,0.015303,0.98847,1.0
0.02176,0.02176,0.035022,0.98543,1.0
0.035459,0.035459,0.063892,0.96707,1.0
0.044395,0.044395,0.099258,0.93328,1.0
0.047717,0.047717,0.13867,0.9044,0.99991
0.04805,0.04805,0.18125,0.89443,0.99768
0.04805,0.04805,0.21855,0.89862,0.99554
0.04805,0.04805,0.23927,0.90714,0.99708
0.04805,0.04805,0.2492,0.91422,0.99905
0.04805,0.04805,0.25733,0.91832,0.99966
0.04805,0.04805,0.26407,0.91964,0.99987
0.04805,0.04805,0.26973,0.91989,0.99994
0.048006,0.048006,0.27455,0.91844,0.99997
0.047867,0.047868,0.27868,0.91445,0.99998
0.047758,0.047758,0.28227,0.90908,0.99998
0.047767,0.047767,0.28544,0.90349,0.99999
0.047827,0.047827,0.28827,0.89682,0.99999
0.04793,0.04793,0.29084,0.88834,0.99999
0.048023,0.048023,0.29321,0.87207,0.99999
0.04805,0.04805,0.29543,0.86277,0.99999
0.04805,0.04805,0.29753,0.86524,0.99999
0.04805,0.04805,0.29953,0.89171,0.99998
0.04805,0.04805,0.30143,0.9194,0.99998
0.04805,0.04805,0.30323,0.95466,0.99998
0.04805,0.04805,0.30491,0.9735,0.99998
0.04805,0.04805,0.30646,0.95322,0.99998
0.04805,0.04805,0.30782,0.93763,0.99998
0.04805,0.04805,0.3089,0.92813,0.99998
0.04805,0.04805,0.3096,0.9292,0.99998
0.04805,0.04805,0.30984,0.92904,0.99998
1.489e-05,1.489e-05,0.0,0.5,1.0
0.00025581,0.00025581,0.00099523,0.98315,1.0
0.0023932,0.0023932,0.0054171,0.98352,1.0
0.01008,0.01008,0.017101,0.9843,1.0
0.023742,0.023742,0.038791,0.97956,1.0
0.03702,0.03702,0.069837,0.95597,1.0
0.044909,0.044909,0.10707,0.91769,1.0
0.047721,0.047722,0.14807,0.89178,0.99996
0.04805,0.04805,0.19213,0.89188,0.99895
0.04805,0.04805,0.23927,0.90715,0.99708
0.04805,0.04805,0.27966,0.92314,0.9973
0.04805,0.04805,0.30064,0.93382,0.99904
0.04805,0.04805,0.3096,0.93994,0.99977
0.04805,0.04805,0.3169,0.94404,0.99994
0.04805,0.04805,0.32292,0.94697,0.99998
0.04805,0.04805,0.32791,0.94739,0.99999
0.047966,0.047966,0.33207,0.94478,1.0
0.047754,0.047754,0.33556,0.93494,1.0
0.047552,0.047552,0.33852,0.91519,1.0
0.047483,0.047483,0.34107,0.89041,1.0
0.047567,0.047567,0.34331,0.86955,1.0
0.047724,0.047724,0.34533,0.85947,1.0
0.047888,0.047888,0.3472,0.86324,1.0
0.048012,0.048012,0.34896,0.8821,1.0
0.04805,0.04805,0.35066,0.87861,1.0
0.04805,0.04805,0.35229,0.8472,1.0
0.04805,0.04805,0.35388,0.89503,1.0
0.04805,0.04805,0.35542,0.96156,1.0
0.04805,0.04805,0.35689,0.95191,1.0
0.04805,0.04805,0.35822,0.91114,1.0
0.04805,0.04805,0.3593,0.88247,1.0
0.04805,0.04805,0.36001,0.88087,1.0
0.04805,0.04805,0.36026,0.88049,1.0
1.7422e-05,1.7422e-05,0.0,0.5,1.0
0.00029979,0.00029979,0.001096,0.97942,1.0
0.0027682,0.0027682,0.0059621,0.97956,1.0
0.011297,0.011297,0.018757,0.98024,1.0
